# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
2.622095036E1,5.625000000E2
2.626361702E1,4.687500000E1
2.630628369E1,4.687500000E1
2.634895036E1,4.687500000E1
2.639161702E1,4.218750000E2
2.643428369E1,4.687500000E1
2.647695036E1,4.687500000E1
2.651961702E1,2.343750000E1
2.656228369E1,2.343750000E1
2.660495036E1,4.687500000E1
2.664761702E1,3.281250000E2
2.669028369E1,3.281250000E2
2.673295036E1,3.281250000E2
2.677561702E1,5.390625000E2
2.681828369E1,2.343750000E1
2.686095036E1,2.343750000E1
2.690361702E1,2.343750000E1
2.694628369E1,2.343750000E1
2.698895036E1,2.343750000E1
2.703161702E1,2.343750000E1
2.707428369E1,2.343750000E1
2.711695036E1,2.343750000E1
2.715961702E1,2.343750000E1
2.720228369E1,4.687500000E1
2.724495036E1,2.343750000E1
2.728761702E1,2.343750000E1
2.733028369E1,4.687500000E1
2.737295036E1,2.343750000E1
2.741561702E1,4.687500000E1
2.745828369E1,4.687500000E1
2.750095036E1,2.343750000E1
2.754361702E1,4.687500000E1
2.758628369E1,4.687500000E1
2.762895036E1,4.687500000E1
2.767161702E1,2.343750000E1
2.771428369E1,2.343750000E1
2.775695036E1,2.343750000E1
2.779961702E1,4.687500000E1
2.784228369E1,2.343750000E1
2.788495036E1,2.343750000E1
2.792761702E1,4.687500000E1
2.797028369E1,4.687500000E1
2.801295036E1,4.687500000E1
2.805561702E1,4.687500000E1
2.809828369E1,2.343750000E1
2.814095036E1,2.343750000E1
2.818361702E1,4.687500000E1
2.822628369E1,4.687500000E1
2.826895036E1,4.687500000E1
2.831161702E1,4.687500000E1
2.835428369E1,2.343750000E1
2.839695036E1,4.687500000E1
2.843961702E1,2.578125000E2
2.848228369E1,2.578125000E2
2.852495036E1,2.343750000E1
2.856761702E1,4.687500000E1
2.861028369E1,4.687500000E1
2.865295036E1,2.343750000E2
2.869561702E1,2.343750000E1
2.873828369E1,9.375000000E1
2.878095036E1,2.343750000E1
2.882361702E1,4.687500000E1
2.886628369E1,2.343750000E1
2.890895036E1,2.343750000E2
2.895161702E1,4.687500000E1
2.899428369E1,4.687500000E1
2.903695036E1,4.687500000E1
2.907961702E1,4.687500000E1
2.912228369E1,2.343750000E1
2.916495036E1,4.687500000E1
2.920761702E1,2.343750000E1
2.925028369E1,4.687500000E1
2.929295036E1,4.687500000E1
2.933561702E1,4.687500000E1
2.937828369E1,2.343750000E1
2.942095036E1,1.500000000E3
2.946361702E1,1.500000000E3
2.950628369E1,2.343750000E1
2.954895036E1,4.687500000E1
2.959161702E1,4.687500000E1
2.963428369E1,4.687500000E1
2.967695036E1,1.500000000E3
2.971961702E1,4.687500000E1
2.976228369E1,2.343750000E1
2.980495036E1,4.687500000E1
2.984761702E1,4.687500000E1
2.989028369E1,5.156250000E2
