"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.375077100E0,-4.079732895E-1,1.102967262E-1,-2.365078926E-1
1.380077100E0,-2.238080502E-1,1.938571930E-1,-2.557339668E-1
1.385077100E0,-6.681251526E-2,2.605061531E-1,-2.370805740E-1
1.390077100E0,7.038521767E-2,3.127346039E-1,-1.587042809E-1
1.395077100E0,1.685369015E-1,3.082613945E-1,-4.143047333E-2
1.400077100E0,2.458374500E-1,2.489213943E-1,5.743312836E-2
1.405077100E0,3.138906956E-1,1.706676483E-1,1.859183311E-1
1.410077100E0,3.747301102E-1,7.225751877E-2,2.412052155E-1
1.415077100E0,4.195320606E-1,-2.760124207E-2,2.350521088E-1
1.420077100E0,4.747440815E-1,-1.323647499E-1,1.898655891E-1
1.425077100E0,4.847042561E-1,-2.279014587E-1,1.129832268E-1
1.430077100E0,5.186731815E-1,-2.805008888E-1,-2.433776855E-3
1.435077100E0,5.295419693E-1,-3.038234711E-1,-1.299090385E-1
1.440077100E0,5.046601295E-1,-2.631516457E-1,-2.625803947E-1
1.445077100E0,4.653260708E-1,-1.576838493E-1,-3.597841263E-1
1.450077100E0,4.276640415E-1,-7.093238831E-2,-4.194049835E-1
1.455077100E0,3.612067699E-1,2.990245819E-3,-4.512290955E-1
1.460077100E0,2.763273716E-1,6.403732300E-2,-4.203372002E-1
1.465077100E0,1.609177589E-1,1.366057396E-1,-3.926868439E-1
1.470077100E0,7.948255539E-2,1.985912323E-1,-3.557181358E-1
1.475077100E0,2.728819847E-2,2.783093452E-1,-3.143339157E-1
1.480077100E0,1.211714745E-2,3.080544472E-1,-2.726817131E-1
1.485077100E0,-6.878852844E-3,3.381743431E-1,-2.516622543E-1
1.490077100E0,-5.290532112E-2,3.546795845E-1,-2.675971985E-1
1.495077100E0,-9.420418739E-2,3.466916084E-1,-2.553696632E-1
1.500077100E0,-1.200439930E-1,3.590531349E-1,-2.821073532E-1
1.505077100E0,-1.325557232E-1,3.882794380E-1,-2.994518280E-1
1.510077100E0,-1.813964844E-1,4.188899994E-1,-3.098583221E-1
1.515077100E0,-2.312631607E-1,4.516277313E-1,-3.634972572E-1
1.520077100E0,-3.075859547E-1,4.553089142E-1,-4.712667465E-1
1.525077100E0,-3.826274872E-1,4.601531029E-1,-5.830521584E-1
1.530077100E0,-3.872337341E-1,4.683127403E-1,-7.034039497E-1
1.535077100E0,-3.582012653E-1,4.592170715E-1,-8.226628304E-1
1.540077100E0,-3.114643097E-1,4.594869614E-1,-9.652619362E-1
1.545077100E0,-2.414312363E-1,4.426088333E-1,-1.087798595E0
1.550077100E0,-1.848902702E-1,3.963866234E-1,-1.234618187E0
1.555077100E0,-1.744468212E-1,3.363795280E-1,-1.352153301E0
1.560077100E0,-1.650955677E-1,2.951550484E-1,-1.474537373E0
1.565077100E0,-1.405153275E-1,1.791405678E-1,-1.601386547E0
1.570077100E0,-2.610752583E-1,2.807960510E-1,-1.373713493E0
1.575077100E0,-5.564279556E-1,5.173006058E-1,-1.247019768E0
1.580077100E0,-7.789456844E-1,6.958656311E-1,-1.248047829E0
1.585077100E0,-8.270242214E-1,7.216434479E-1,-1.336034775E0
1.590077100E0,-7.996206284E-1,6.579403877E-1,-1.205097198E0
1.595077100E0,-7.315516472E-1,4.743981361E-1,-9.025373459E-1
1.600077100E0,-5.967280865E-1,2.844777107E-1,-6.094627380E-1
1.605077100E0,-5.398535728E-1,1.315069199E-1,-3.438806534E-1
1.610077100E0,-5.314404964E-1,4.852342606E-2,-2.136878967E-1
1.615077100E0,-5.466690063E-1,1.214742661E-2,-1.548566818E-1
1.620077100E0,-7.138445377E-1,-1.515378952E-1,3.177599907E-1
1.625077100E0,-9.384768009E-1,-3.869204521E-1,4.475774765E-1
1.630077100E0,-1.043906212E0,1.396512985E-2,-1.352720261E-1
1.635077100E0,-9.660918713E-1,3.398909569E-1,-9.864044189E-2
1.640077100E0,-8.961398602E-1,4.171032906E-1,-1.059112549E-1
1.645077100E0,-8.579709530E-1,2.511482239E-1,-2.298917770E-1
1.650077100E0,-7.994301319E-1,1.083979607E-1,-3.724188805E-1
1.655077100E0,-7.006046772E-1,6.609106064E-2,-5.080804825E-1
1.660077100E0,-6.223256588E-1,8.090496063E-2,-6.074328423E-1
1.665077100E0,-5.388355255E-1,7.067632675E-2,-6.645135880E-1
1.670077100E0,-5.203964710E-1,3.625535965E-2,-6.119976044E-1
1.675077100E0,-5.278644562E-1,-9.848594666E-3,-4.726710320E-1
1.680077100E0,-5.685267448E-1,-5.568361282E-2,-2.779064178E-1
1.685077100E0,-5.975511074E-1,-1.192789078E-1,-8.222675323E-2
1.690077100E0,-5.984003544E-1,-1.716256142E-1,1.042628288E-1
1.695077100E0,-6.173009872E-1,-2.234339714E-1,2.807798386E-1
1.700077100E0,-6.158721447E-1,-1.913318634E-1,4.232182503E-1
1.705077100E0,-6.301021576E-1,-1.495327950E-1,4.938335419E-1
1.710077100E0,-5.932941437E-1,-1.122694016E-1,5.353808403E-1
1.715077100E0,-5.456709862E-1,-9.180450439E-2,5.289196968E-1
1.720077100E0,-4.924545288E-1,-9.000778198E-2,4.973521233E-1
1.725077100E0,-4.173281193E-1,-1.156969070E-1,4.887766838E-1
1.730077100E0,-3.362231255E-1,-1.457972527E-1,4.649667740E-1
1.735077100E0,-2.955112457E-1,-1.730952263E-1,4.473662376E-1
1.740077100E0,-2.507746220E-1,-2.026224136E-1,4.309806824E-1
1.745077100E0,-2.501349449E-1,-2.006964684E-1,4.034361839E-1
1.750077100E0,-2.331371307E-1,-1.253991127E-1,2.955079079E-1
1.755077100E0,-2.175450325E-1,-8.205842972E-2,6.684341431E-1
1.760077100E0,-1.248018742E-1,-1.312041283E-1,3.371596336E-1
1.765077100E0,-6.055474281E-2,-1.966781616E-1,3.936014175E-1
1.770077100E0,-4.205107689E-2,-2.342329025E-1,3.389382362E-1
1.775077100E0,-5.203843117E-2,-2.569994926E-1,2.918543816E-1
1.780077100E0,-5.257797241E-2,-2.408123016E-1,2.407674789E-1
1.785077100E0,-1.483798027E-2,-2.161607742E-1,1.312789917E-1
1.790077100E0,-1.129865646E-3,-2.004637718E-1,2.257442474E-2
1.795077100E0,4.332065582E-4,-1.492805481E-1,-7.341432571E-2
1.800077100E0,1.673436165E-2,-1.251125336E-1,-1.337752342E-1
1.805077100E0,1.247930527E-2,-1.051316261E-1,-1.641521454E-1
1.810077100E0,-1.647424698E-2,-1.101255417E-1,-1.895976067E-1
1.815077100E0,-4.816651344E-2,-1.531929970E-1,-2.716178894E-1
1.820077100E0,-7.307267189E-2,-1.324820518E-1,-3.888053894E-1
1.825077100E0,-9.712767601E-2,-6.532335281E-2,-2.912721634E-1
1.830077100E0,-1.260797977E-1,-5.769157410E-2,-1.123371124E-1
1.835077100E0,-1.605296135E-1,-8.889579773E-2,-1.063876152E-1
1.840077100E0,-1.828958988E-1,-1.088018417E-1,-1.044406891E-1
1.845077100E0,-2.056155205E-1,-9.378528595E-2,-1.040749550E-1
1.850077100E0,-2.715523243E-1,-3.390598297E-2,-9.306812286E-2
1.855077100E0,-3.529596329E-1,9.076118469E-2,4.430484772E-2
1.860077100E0,-3.781273365E-1,1.607046127E-1,-9.149408340E-2
1.865077100E0,-4.312772751E-1,2.387986183E-1,-8.764266968E-4
1.870077100E0,-4.938042164E-1,2.663640976E-1,6.159114838E-2
1.875077100E0,-5.808286667E-1,2.841959000E-1,4.632043839E-2
1.880077100E0,-6.984946728E-1,3.001441956E-1,-2.971124649E-2
1.885077100E0,-7.695429325E-1,3.382954597E-1,-1.463937759E-1
1.890077100E0,-7.692701817E-1,3.648600578E-1,-2.191877365E-1
1.895077100E0,-7.314329147E-1,3.956551552E-1,-2.955632210E-1
1.900077100E0,-6.719987392E-1,4.022412300E-1,-3.436489105E-1
1.905077100E0,-6.256344318E-1,3.975358009E-1,-4.240727425E-1
