# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.502343750E4,2.621538046E-2
1.504687500E4,2.105459296E-2
1.507031250E4,3.168054482E-2
1.509375000E4,3.150026177E-2
1.511718750E4,2.981587838E-2
1.514062500E4,3.800158853E-2
1.516406250E4,9.716906565E-3
1.518750000E4,1.248894766E-2
1.521093750E4,2.873722703E-2
1.523437500E4,3.598579667E-2
1.525781250E4,2.071911576E-2
1.528125000E4,1.562451623E-2
1.530468750E4,2.159464053E-2
1.532812500E4,3.181667882E-2
1.535156250E4,3.399457208E-2
1.537500000E4,1.470440292E-2
1.539843750E4,2.605378831E-2
1.542187500E4,1.936306602E-2
1.544531250E4,4.602609629E-2
1.546875000E4,1.376194473E-2
1.549218750E4,2.464299219E-2
1.551562500E4,3.365304967E-2
1.553906250E4,1.686483786E-2
1.556250000E4,4.564344859E-2
1.558593750E4,3.693960169E-2
1.560937500E4,1.306358239E-2
1.563281250E4,2.332979405E-2
1.565625000E4,2.021124501E-2
1.567968750E4,2.114756297E-2
1.570312500E4,1.018457091E-2
1.572656250E4,3.866490453E-2
1.575000000E4,1.529383807E-2
1.577343750E4,3.338321479E-2
1.579687500E4,1.703631476E-2
1.582031250E4,9.975895895E-3
1.584375000E4,4.886508613E-2
1.586718750E4,3.613028422E-2
1.589062500E4,1.625386899E-2
1.591406250E4,3.568079570E-2
1.593750000E4,2.306455734E-2
1.596093750E4,5.263985038E-2
1.598437500E4,2.630964975E-2
1.600781250E4,2.171403722E-2
1.603125000E4,2.381477393E-2
1.605468750E4,3.959391827E-2
1.607812500E4,3.719303767E-2
1.610156250E4,1.996149831E-2
1.612500000E4,3.239097257E-2
1.614843750E4,2.490769215E-2
1.617187500E4,1.079704345E-2
1.619531250E4,1.308485808E-2
1.621875000E4,3.291135558E-2
1.624218750E4,2.757576481E-2
1.626562500E4,4.464685958E-2
1.628906250E4,1.559655792E-2
1.631250000E4,2.191903750E-2
1.633593750E4,2.728275218E-3
1.635937500E4,1.169928953E-2
1.638281250E4,2.867615738E-2
1.640625000E4,1.658592788E-2
1.642968750E4,3.378138201E-2
1.645312500E4,4.358356448E-2
1.647656250E4,3.512072760E-2
1.650000000E4,1.532730217E-2
1.652343750E4,3.130439564E-2
1.654687500E4,8.023699071E-3
1.657031250E4,2.625235064E-2
1.659375000E4,2.458318118E-2
1.661718750E4,3.093166219E-2
1.664062500E4,2.968127070E-2
1.666406250E4,1.471182415E-2
1.668750000E4,3.042778166E-2
1.671093750E4,9.102911816E-3
1.673437500E4,1.670439938E-2
1.675781250E4,1.386801227E-2
1.678125000E4,2.522850072E-2
1.680468750E4,9.903982420E-3
1.682812500E4,2.308848351E-2
1.685156250E4,4.989458910E-2
1.687500000E4,1.471447578E-2
1.689843750E4,5.421518561E-2
1.692187500E4,1.470734490E-2
1.694531250E4,1.387943754E-2
1.696875000E4,2.726261886E-2
1.699218750E4,4.646760375E-2
1.701562500E4,1.604247823E-2
1.703906250E4,2.364905539E-2
1.706250000E4,1.454943999E-2
1.708593750E4,2.830868893E-2
1.710937500E4,2.063800171E-2
1.713281250E4,3.727637037E-2
1.715625000E4,2.987509702E-2
1.717968750E4,1.836212833E-2
1.720312500E4,4.047892006E-2
1.722656250E4,1.230127372E-2
1.725000000E4,3.021004856E-2
1.727343750E4,1.915571535E-2
1.729687500E4,3.229846776E-2
1.732031250E4,2.789999214E-2
1.734375000E4,2.038803467E-2
1.736718750E4,4.505173097E-3
1.739062500E4,5.759280411E-3
1.741406250E4,1.745777624E-2
1.743750000E4,3.243893303E-2
1.746093750E4,3.278522692E-2
1.748437500E4,3.248187225E-2
1.750781250E4,1.742824962E-2
1.753125000E4,7.126469480E-3
1.755468750E4,4.239229332E-2
1.757812500E4,3.117897449E-2
1.760156250E4,1.939677328E-2
1.762500000E4,2.284598812E-2
1.764843750E4,3.492250726E-2
1.767187500E4,4.878012160E-2
1.769531250E4,2.434808662E-2
1.771875000E4,1.969416114E-2
1.774218750E4,1.168330196E-2
1.776562500E4,2.278309569E-2
1.778906250E4,2.399479511E-2
1.781250000E4,4.770248215E-3
1.783593750E4,1.752299413E-2
1.785937500E4,6.142103961E-3
1.788281250E4,2.285141480E-3
1.790625000E4,2.773964820E-2
1.792968750E4,2.057333361E-2
1.795312500E4,2.139286937E-3
1.797656250E4,1.753284365E-2
1.800000000E4,1.812702098E-2
1.802343750E4,2.456756605E-2
1.804687500E4,6.616996432E-3
1.807031250E4,1.182976377E-2
1.809375000E4,1.104569937E-2
1.811718750E4,2.250660661E-2
