"Time (s)","Illuminance (lx)"
1.026077272E2,2.403375092E2
1.028077457E2,2.376500092E2
1.030077223E2,2.378000031E2
1.032077363E2,2.386000061E2
1.034077230E2,2.344625092E2
1.036077301E2,2.221000061E2
1.038077189E2,2.140749969E2
1.040077288E2,2.140250092E2
1.042077081E2,1.975375061E2
1.044077282E2,1.970375061E2
1.046077099E2,1.980875092E2
1.048077221E2,2.103375092E2
1.050077093E2,2.230500031E2
1.052077141E2,2.217500000E2
1.054076996E2,2.280875092E2
1.056077153E2,2.315749969E2
1.058076958E2,2.254875031E2
1.060077093E2,2.233000031E2
1.062076922E2,2.243500061E2
1.064077041E2,2.167250061E2
1.066076885E2,2.074499969E2
1.068077027E2,2.056625061E2
1.070076829E2,2.058125000E2
1.072076802E2,1.950875092E2
1.074076814E2,1.901125031E2
1.076076924E2,1.814875031E2
1.078076745E2,1.796500092E2
1.080076916E2,1.800875092E2
1.082076704E2,1.797500000E2
1.084076838E2,1.813375092E2
1.086076686E2,1.863249969E2
1.088076809E2,1.946999969E2
1.090076628E2,2.043625031E2
1.092076779E2,2.055124969E2
1.094076657E2,2.047624969E2
1.096076721E2,2.073500061E2
1.098076682E2,2.084000092E2
1.100076690E2,2.076000061E2
1.102076484E2,2.050625000E2
1.104076615E2,1.991750031E2
1.106076678E2,1.906625061E2
1.108076616E2,1.886125031E2
1.110076980E2,1.896625061E2
1.112076584E2,1.923000031E2
1.114076623E2,1.957875061E2
1.116076542E2,2.006250000E2
1.118076500E2,2.022125092E2
1.120076451E2,2.006750031E2
1.122076453E2,1.993249969E2
1.124076269E2,1.974875031E2
1.126076424E2,1.981875000E2
1.128076243E2,1.987250061E2
1.130076407E2,1.977875061E2
1.132076194E2,1.998249969E2
1.134076402E2,1.947375031E2
1.136076153E2,1.949875031E2
1.138076320E2,1.934499969E2
1.140076115E2,2.000749969E2
1.142076271E2,2.110375061E2
1.144076059E2,2.171625061E2
1.146076234E2,2.151750031E2
1.148076103E2,2.115875092E2
1.150076177E2,2.135749969E2
1.152076042E2,2.159250031E2
1.154076129E2,2.135749969E2
1.156075991E2,2.100375061E2
1.158076140E2,2.047125092E2
1.160075910E2,2.076000061E2
1.162076081E2,2.091000061E2
1.164075972E2,2.080500031E2
1.166076070E2,2.038625031E2
1.168075841E2,2.033125000E2
1.170075971E2,2.026625061E2
1.172075792E2,2.019250031E2
1.174075912E2,2.030625000E2
1.176075770E2,2.045625000E2
1.178075908E2,2.046125031E2
1.180075710E2,2.041625061E2
1.182075880E2,2.028125000E2
1.184075678E2,2.011250000E2
1.186075818E2,2.000250092E2
1.188075631E2,2.007750092E2
1.190075779E2,2.012750092E2
1.192075596E2,2.013750000E2
1.194075730E2,2.017250061E2
1.196075591E2,2.026625061E2
1.198075666E2,2.036625061E2
1.200075512E2,2.064000092E2
1.202075654E2,2.083000031E2
1.204075471E2,2.108375092E2
1.206075577E2,2.120875092E2
1.208075553E2,2.106374969E2
1.210075549E2,2.069499969E2
1.212075471E2,1.993249969E2
1.214075467E2,1.887125092E2
1.216075378E2,1.833375092E2
1.218075500E2,1.808375092E2
1.220075653E2,1.814375000E2
1.222075273E2,1.800875092E2
1.224075485E2,1.806374969E2
1.226075397E2,1.840250092E2
1.228075359E2,1.872250061E2
1.230075372E2,1.941999969E2
1.232075349E2,2.010749969E2
1.234075308E2,2.132750092E2
1.236075329E2,2.279375000E2
1.238075273E2,2.331625061E2
1.240075278E2,2.366500092E2
1.242075077E2,2.399875031E2
1.244075238E2,2.168750000E2
1.246075030E2,2.210000000E2
1.248075212E2,2.438750000E2
1.250075001E2,2.280875092E2
1.252075156E2,1.889125061E2
1.254074938E2,1.236875000E2
1.256075062E2,9.443750000E1
1.258074935E2,8.905000305E1
1.260075048E2,8.900000000E1
1.262074934E2,9.637500000E1
1.264075045E2,9.153749847E1
1.266074862E2,9.045000458E1
1.268075021E2,9.657500458E1
1.270074818E2,9.009999847E1
1.272074959E2,8.661250305E1
1.274074767E2,9.622499847E1
1.276074892E2,8.855000305E1
1.278074731E2,9.118750000E1
1.280074860E2,9.128749847E1
1.282074671E2,8.651250458E1
1.284074827E2,8.671250153E1
1.286074648E2,8.606250000E1
1.288074766E2,8.586250305E1
1.290074594E2,8.646250153E1
1.292074750E2,8.486250305E1
1.294074571E2,8.506250000E1
1.296074756E2,8.666249847E1
1.298074511E2,8.661250305E1
1.300074643E2,8.696250153E1
1.302074472E2,1.203000031E2
1.304074625E2,1.800875092E2
1.306074431E2,1.811875000E2
1.308074537E2,1.771500092E2
1.310074390E2,1.059375000E2
1.312074559E2,8.501250458E1
1.314074334E2,8.391249847E1
1.316074496E2,8.561250305E1
1.318074301E2,9.070000458E1
1.320074442E2,9.075000000E1
1.322074373E2,9.025000000E1
1.324074404E2,9.313750458E1
1.326074249E2,9.517500305E1
1.328074214E2,9.562500000E1
1.330074418E2,9.557500458E1
1.332074325E2,9.517500305E1
1.334074678E2,9.462500000E1
1.336074296E2,9.438750458E1
1.338074309E2,9.423750305E1
1.340074080E2,9.423750305E1
1.342074229E2,9.438750458E1
1.344074027E2,9.273750305E1
1.346074171E2,8.945000458E1
1.348074140E2,8.955000305E1
1.350074158E2,8.870000458E1
1.352073944E2,8.770000458E1
1.354074044E2,8.780000305E1
1.356073911E2,8.880000305E1
1.358074099E2,9.025000000E1
1.360073860E2,9.567500305E1
1.362074047E2,9.767500305E1
1.364073915E2,9.861250305E1
1.366073978E2,9.647499847E1
1.368073806E2,9.358750153E1
1.370073960E2,9.118750000E1
1.372073757E2,9.143750000E1
1.374073911E2,9.193750000E1
1.376073755E2,9.098750305E1
1.378073867E2,8.361250305E1
1.380073704E2,8.696250153E1
1.382073829E2,8.820000458E1
1.384073667E2,8.784999847E1
1.386073781E2,9.582500458E1
1.388073692E2,9.831250000E1
1.390073753E2,9.428749847E1
1.392073557E2,9.040000153E1
1.394073679E2,8.681250000E1
1.396073525E2,8.834999847E1
1.398073657E2,8.934999847E1
1.400073485E2,9.034999847E1
1.402073623E2,8.950000000E1
1.404073446E2,1.561250000E2
1.406073612E2,1.779499969E2
1.408073391E2,1.765500031E2
1.410073520E2,1.766500092E2
1.412073371E2,1.771500092E2
1.414073507E2,1.785000000E2
1.416073312E2,1.811374969E2
1.418073402E2,1.856250000E2
1.420073266E2,1.726625061E2
1.422073400E2,1.857250061E2
1.424073230E2,1.901625061E2
1.426073377E2,1.981875000E2
1.428073230E2,1.962875061E2
1.430073353E2,1.911500092E2
1.432073277E2,1.891625061E2
1.434073320E2,1.941999969E2
1.436073102E2,1.939000092E2
1.438073254E2,1.879625092E2
1.440073370E2,1.828375092E2
1.442073207E2,1.828874969E2
1.444073169E2,1.803375092E2
1.446073009E2,1.774499969E2
1.448073188E2,1.781500092E2
1.450072966E2,1.777500000E2
1.452073142E2,1.753125000E2
1.454072941E2,1.720250092E2
1.456073094E2,1.742125092E2
1.458072869E2,1.767500000E2
1.460073051E2,1.817875061E2
1.462072850E2,1.814875031E2
1.464073019E2,1.799375000E2
1.466072867E2,1.820875092E2
1.468072959E2,1.826374969E2
1.470072752E2,1.821374969E2
1.472072940E2,1.806875000E2
1.474072775E2,1.826374969E2
1.476072893E2,1.841250000E2
1.478072683E2,1.843249969E2
1.480072793E2,1.861750031E2
1.482072727E2,1.845749969E2
1.484072799E2,1.825875092E2
1.486072608E2,1.822875061E2
1.488072816E2,1.856250000E2
1.490072732E2,1.859250031E2
1.492072727E2,1.864250031E2
1.494072633E2,1.874125061E2
1.496072672E2,1.928000031E2
1.498072492E2,1.940000000E2
1.500072647E2,1.912500000E2
1.502072485E2,1.882624969E2
1.504072585E2,1.850749969E2
1.506072416E2,1.822375031E2
1.508072516E2,1.641999969E2
1.510072402E2,1.659875031E2
1.512072535E2,1.557250061E2
1.514072322E2,1.543750000E2
1.516072495E2,1.328000031E2
1.518072295E2,1.190000000E2
1.520072439E2,6.921250153E1
