"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.800771000E-1,7.730904415E-1,2.703290880E-1,-8.316711336E-2,-5.677469373E-1,7.873555050E1,3.138352953E1,1.027457641E1,-6.969248718E1
5.850771000E-1,7.727913311E-1,2.704695463E-1,-8.369828016E-2,-5.680091381E-1,7.878957211E1,3.142842464E1,1.024721637E1,-6.974229367E1
5.900771000E-1,7.723548072E-1,2.706474960E-1,-8.425160497E-2,-5.684361458E-1,7.886835605E1,3.147664085E1,1.022693379E1,-6.981539412E1
5.950771000E-1,7.720241777E-1,2.708974481E-1,-8.474113047E-2,-5.686933994E-1,7.892798434E1,3.152997329E1,1.021083053E1,-6.986300627E1
6.000771000E-1,7.716702179E-1,2.711631954E-1,-8.524000645E-2,-5.689725280E-1,7.899177844E1,3.158525934E1,1.019590911E1,-6.991387903E1
6.050771000E-1,7.713562059E-1,2.714258134E-1,-8.571927249E-2,-5.692010522E-1,7.904833672E1,3.163957811E1,1.018060256E1,-6.995727911E1
6.100771000E-1,7.710649704E-1,2.716816068E-1,-8.615046740E-2,-5.694084764E-1,7.910076237E1,3.169040007E1,1.016831260E1,-6.999653097E1
6.150771000E-1,7.707557460E-1,2.719423175E-1,-8.652588725E-2,-5.696457028E-1,7.915639446E1,3.173782506E1,1.016252024E1,-7.003841233E1
6.200771000E-1,7.704164344E-1,2.722294033E-1,-8.682169020E-2,-5.699225068E-1,7.921740193E1,3.178235835E1,1.016721880E1,-7.008352146E1
6.250771000E-1,7.701099390E-1,2.725428343E-1,-8.701033890E-2,-5.701581240E-1,7.927247540E1,3.182313995E1,1.018167583E1,-7.011990190E1
6.300771000E-1,7.697484634E-1,2.728501260E-1,-8.714465052E-2,-5.704786777E-1,7.933738709E1,3.185885956E1,1.020388280E1,-7.016661712E1
6.350771000E-1,7.694412865E-1,2.731384933E-1,-8.721296489E-2,-5.707445741E-1,7.939251330E1,3.188907124E1,1.022849059E1,-7.020404960E1
6.400771000E-1,7.691336010E-1,2.733718455E-1,-8.726294339E-2,-5.710398555E-1,7.944769878E1,3.191225767E1,1.025204772E1,-7.024531861E1
6.450771000E-1,7.688303961E-1,2.735556662E-1,-8.731087297E-2,-5.713527203E-1,7.950204937E1,3.193014526E1,1.027302862E1,-7.028921043E1
6.500771000E-1,7.685165644E-1,2.737143040E-1,-8.734567463E-2,-5.716935396E-1,7.955827224E1,3.194434018E1,1.029452533E1,-7.033675400E1
6.550771000E-1,7.681807236E-1,2.738402486E-1,-8.737242222E-2,-5.720803738E-1,7.961840135E1,3.195420663E1,1.031627266E1,-7.039063540E1
6.600771000E-1,7.677901841E-1,2.739425898E-1,-8.744916320E-2,-5.725437403E-1,7.968827615E1,3.196402954E1,1.033498886E1,-7.045664900E1
6.650771000E-1,7.674426038E-1,2.740311623E-1,-8.754031360E-2,-5.729532838E-1,7.975042184E1,3.197401437E1,1.034936093E1,-7.051566708E1
6.700771000E-1,7.670697416E-1,2.740477920E-1,-8.770883828E-2,-5.734186769E-1,7.981704301E1,3.198113719E1,1.035407148E1,-7.058492063E1
6.750771000E-1,7.667023994E-1,2.739658058E-1,-8.800417185E-2,-5.739036798E-1,7.988263263E1,3.198635923E1,1.034144998E1,-7.066085047E1
6.800771000E-1,7.663260979E-1,2.738003731E-1,-8.844804764E-2,-5.744167566E-1,7.994977550E1,3.199254089E1,1.031099103E1,-7.074517083E1
6.850771000E-1,7.659071791E-1,2.735701501E-1,-8.903536946E-2,-5.749941468E-1,8.002446732E1,3.200085145E1,1.026591139E1,-7.084272515E1
6.900771000E-1,7.655606055E-1,2.733136415E-1,-8.968603611E-2,-5.754763484E-1,8.008621645E1,3.201183140E1,1.020967214E1,-7.092894507E1
6.950771000E-1,7.650902951E-1,2.730054557E-1,-9.049084783E-2,-5.761217475E-1,8.016994853E1,3.202590905E1,1.014276040E1,-7.104246476E1
7.000771000E-1,7.646122091E-1,2.726486921E-1,-9.139768034E-2,-5.767818689E-1,8.025499049E1,3.204178301E1,1.006411463E1,-7.116118639E1
7.050771000E-1,7.641331344E-1,2.722666264E-1,-9.236237407E-2,-5.774431825E-1,8.034013330E1,3.205909961E1,9.978738121E0,-7.128192193E1
7.100771000E-1,7.636651021E-1,2.718476951E-1,-9.336196631E-2,-5.780985951E-1,8.042324130E1,3.207532149E1,9.887547198E0,-7.140310420E1
7.150771000E-1,7.632189956E-1,2.713845372E-1,-9.435278922E-2,-5.787441134E-1,8.050238964E1,3.208693071E1,9.793675456E0,-7.152298227E1
7.200771000E-1,7.628061178E-1,2.708791494E-1,-9.527398646E-2,-5.793739557E-1,8.057558506E1,3.209020870E1,9.702331452E0,-7.163900608E1
7.250771000E-1,7.624383119E-1,2.703396678E-1,-9.606977552E-2,-5.799783468E-1,8.064074365E1,3.208238694E1,9.618537775E0,-7.174815984E1
7.300771000E-1,7.621281728E-1,2.697425485E-1,-9.672154486E-2,-5.805553794E-1,8.069565238E1,3.205989092E1,9.542116202E0,-7.184969518E1
7.350771000E-1,7.618730778E-1,2.690800726E-1,-9.718786180E-2,-5.811194777E-1,8.074079260E1,3.201903793E1,9.476653771E0,-7.194443629E1
7.400771000E-1,7.616549868E-1,2.683599591E-1,-9.742537141E-2,-5.816982985E-1,8.077936821E1,3.195739758E1,9.427532478E0,-7.203495883E1
7.450771000E-1,7.614527043E-1,2.676022947E-1,-9.743522108E-2,-5.823101997E-1,8.081513400E1,3.187678743E1,9.396777047E0,-7.212379298E1
7.500771000E-1,7.612648636E-1,2.668858767E-1,-9.727959335E-2,-5.829102993E-1,8.084833459E1,3.178951338E1,9.382811064E0,-7.220615498E1
7.550771000E-1,7.610376247E-1,2.662416995E-1,-9.694235772E-2,-5.835574269E-1,8.088848365E1,3.169689204E1,9.391585911E0,-7.228976000E1
7.600771000E-1,7.607302252E-1,2.656502128E-1,-9.637687355E-2,-5.843209624E-1,8.094276943E1,3.159311607E1,9.428482166E0,-7.238318840E1
7.650771000E-1,7.603006834E-1,2.651535869E-1,-9.551902115E-2,-5.852457285E-1,8.101857470E1,3.147752349E1,9.503836927E0,-7.249094627E1
7.700771000E-1,7.597516322E-1,2.648042738E-1,-9.436938167E-2,-5.863024592E-1,8.111538555E1,3.135549594E1,9.620191561E0,-7.260899776E1
7.750771000E-1,7.591914834E-1,2.645752132E-1,-9.311239421E-2,-5.873315334E-1,8.121405479E1,3.123824568E1,9.753311072E0,-7.272028733E1
7.800771000E-1,7.586612870E-1,2.643283308E-1,-9.190145880E-2,-5.883176923E-1,8.130735676E1,3.112255679E1,9.879342073E0,-7.282740898E1
7.850771000E-1,7.581956876E-1,2.643218935E-1,-9.076267481E-2,-5.890970826E-1,8.138921828E1,3.103740431E1,1.000829639E1,-7.290683382E1
7.900771000E-1,7.578321860E-1,2.648545802E-1,-8.960510790E-2,-5.895026326E-1,8.145308178E1,3.100807879E1,1.016326411E1,-7.293114122E1
7.950771000E-1,7.576269130E-1,2.660926878E-1,-8.840584755E-2,-5.893899798E-1,8.148912788E1,3.105136298E1,1.035271885E1,-7.287840622E1
8.000771000E-1,7.575782629E-1,2.679972947E-1,-8.711566776E-2,-5.887813568E-1,8.149766894E1,3.116048112E1,1.057892279E1,-7.275039640E1
8.050771000E-1,7.576438223E-1,2.702086270E-1,-8.577663451E-2,-5.878822207E-1,8.148615909E1,3.130095885E1,1.082007203E1,-7.257863880E1
8.100771000E-1,7.577668762E-1,2.727545798E-1,-8.440016955E-2,-5.867460370E-1,8.146455166E1,3.147610806E1,1.107910164E1,-7.237079131E1
8.150771000E-1,7.579187825E-1,2.756283581E-1,-8.299527317E-2,-5.854057670E-1,8.143787142E1,3.168592059E1,1.135582585E1,-7.213167599E1
8.200771000E-1,7.580856312E-1,2.788037062E-1,-8.158060908E-2,-5.838829279E-1,8.140855844E1,3.192922687E1,1.164734339E1,-7.186482646E1
8.250771000E-1,7.582585514E-1,2.822639942E-1,-8.015612513E-2,-5.821906924E-1,8.137816956E1,3.220467988E1,1.195274020E1,-7.157206211E1
8.300771000E-1,7.584163054E-1,2.859878242E-1,-7.871342450E-2,-5.803618431E-1,8.135043782E1,3.250964241E1,1.227228532E1,-7.125776714E1
8.350771000E-1,7.585362789E-1,2.899314761E-1,-7.724225521E-2,-5.784428120E-1,8.132934232E1,3.283888429E1,1.260541365E1,-7.092830412E1
8.400771000E-1,7.585953318E-1,2.940490842E-1,-7.574188709E-2,-5.764819384E-1,8.131895712E1,3.318744173E1,1.295073005E1,-7.059055762E1
8.450771000E-1,7.585697876E-1,2.982902229E-1,-7.420462370E-2,-5.745332837E-1,8.132344952E1,3.354923231E1,1.330746628E1,-7.025205925E1
8.500771000E-1,7.584615134E-1,3.025870919E-1,-7.265374064E-2,-5.726243258E-1,8.134248922E1,3.391859970E1,1.366987706E1,-6.991754189E1
8.550771000E-1,7.582893287E-1,3.068745434E-1,-7.111658901E-2,-5.707606673E-1,8.137275981E1,3.429055291E1,1.403118288E1,-6.958882422E1
8.600771000E-1,7.580909003E-1,3.110779822E-1,-6.960207224E-2,-5.689325333E-1,8.140763258E1,3.465805157E1,1.438494496E1,-6.926523216E1
8.650771000E-1,7.579030498E-1,3.151323199E-1,-6.807791442E-2,-5.671331286E-1,8.144063498E1,3.501231435E1,1.472921025E1,-6.894545031E1
