# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
2.173415877E2,3.750000000E2
2.173842544E2,7.031250000E2
2.174269210E2,9.609375000E2
2.174695877E2,9.375000000E2
2.175122544E2,6.328125000E2
2.175549210E2,7.265625000E2
2.175975877E2,7.265625000E2
2.176402544E2,5.625000000E2
2.176829210E2,3.750000000E2
2.177255877E2,3.984375000E2
2.177682544E2,7.265625000E2
2.178109210E2,5.156250000E2
2.178535877E2,6.093750000E2
2.178962544E2,5.156250000E2
2.179389210E2,6.093750000E2
2.179815877E2,3.515625000E2
2.180242544E2,3.515625000E2
2.180669210E2,8.437500000E2
2.181095877E2,3.984375000E2
2.181522544E2,3.750000000E2
2.181949210E2,4.453125000E2
2.182375877E2,4.687500000E2
2.182802544E2,5.390625000E2
2.183229210E2,4.921875000E2
2.183655877E2,4.687500000E1
2.184082544E2,6.328125000E2
2.184509210E2,7.031250000E2
2.184935877E2,3.750000000E2
2.185362544E2,3.750000000E2
2.185789210E2,7.265625000E2
2.186215877E2,5.859375000E2
2.186642544E2,7.968750000E2
2.187069210E2,6.796875000E2
2.187495877E2,6.093750000E2
2.187922544E2,5.156250000E2
2.188349210E2,6.562500000E2
2.188775877E2,7.265625000E2
2.189202544E2,7.031250000E2
2.189629210E2,7.265625000E2
2.190055877E2,3.750000000E2
2.190482544E2,3.750000000E2
2.190909210E2,3.984375000E2
2.191335877E2,2.812500000E2
2.191762544E2,7.031250000E2
2.192189210E2,6.796875000E2
2.192615877E2,1.171875000E2
2.193042544E2,1.171875000E2
2.193469210E2,1.171875000E2
2.193895877E2,4.453125000E2
2.194322544E2,4.687500000E1
2.194749210E2,4.687500000E2
2.195175877E2,4.921875000E2
2.195602544E2,4.921875000E2
2.196029210E2,4.921875000E2
2.196455877E2,3.046875000E2
2.196882544E2,3.984375000E2
2.197309210E2,4.921875000E2
2.197735877E2,5.390625000E2
2.198162544E2,4.921875000E2
2.198589210E2,5.156250000E2
2.199015877E2,5.156250000E2
2.199442544E2,5.625000000E2
2.199869210E2,5.156250000E2
2.200295877E2,5.859375000E2
2.200722544E2,5.156250000E2
2.201149210E2,5.156250000E2
2.201575877E2,4.453125000E2
2.202002544E2,6.328125000E2
2.202429210E2,5.859375000E2
2.202855877E2,3.750000000E2
2.203282544E2,3.750000000E2
2.203709210E2,4.218750000E2
2.204135877E2,3.750000000E2
2.204562544E2,3.984375000E2
2.204989210E2,3.984375000E2
2.205415877E2,1.875000000E2
2.205842544E2,2.343750000E1
2.206269210E2,4.687500000E1
2.206695877E2,7.031250000E1
2.207122544E2,3.984375000E2
2.207549210E2,3.750000000E2
2.207975877E2,6.796875000E2
2.208402544E2,6.796875000E2
2.208829210E2,7.265625000E2
2.209255877E2,6.796875000E2
