"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.520367242E2,5.336065910E1,-6.271527450E0,1.914526757E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.530365203E2,5.336065899E1,-6.271527430E0,1.912640781E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.540362364E2,5.336065889E1,-6.271527440E0,1.911127116E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.550368040E2,5.336065884E1,-6.271527420E0,1.909991868E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.560358245E2,5.336065880E1,-6.271527380E0,1.910382499E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.570356259E2,5.336065876E1,-6.271527360E0,1.910797543E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.580352367E2,5.336065883E1,-6.271527290E0,1.910620542E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.590357336E2,5.336065873E1,-6.271527280E0,1.909949164E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.600356621E2,5.336065867E1,-6.271527260E0,1.910168897E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.610351410E2,5.336065853E1,-6.271527300E0,1.911072225E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.620355737E2,5.336065851E1,-6.271527310E0,1.910559530E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.630350833E2,5.336065852E1,-6.271527220E0,1.911432340E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.640350407E2,5.336065847E1,-6.271527170E0,1.912500463E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.650358428E2,5.336065848E1,-6.271527100E0,1.912976542E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.660356338E2,5.336065844E1,-6.271527100E0,1.914209456E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.670355300E2,5.336065834E1,-6.271527130E0,1.915619373E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.680351435E2,5.336065830E1,-6.271527110E0,1.916431146E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.690350971E2,5.336065824E1,-6.271527080E0,1.918304932E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.700350708E2,5.336065819E1,-6.271527020E0,1.918994639E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.710353314E2,5.336065814E1,-6.271526960E0,1.918860370E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.720355435E2,5.336065808E1,-6.271526900E0,1.918915312E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.730354880E2,5.336065805E1,-6.271526820E0,1.919373084E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.740352960E2,5.336065793E1,-6.271526800E0,1.918988574E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.750358460E2,5.336065773E1,-6.271526700E0,1.918811596E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.760357302E2,5.336065765E1,-6.271526680E0,1.918176839E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.770358882E2,5.336065751E1,-6.271526600E0,1.919415870E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.780357537E2,5.336065747E1,-6.271526550E0,1.920136093E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.790353713E2,5.336065727E1,-6.271526560E0,1.919171752E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.800354074E2,5.336065712E1,-6.271526570E0,1.918744517E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.810348714E2,5.336065702E1,-6.271526560E0,1.918970356E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.820352101E2,5.336065698E1,-6.271526490E0,1.918268461E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.830356564E2,5.336065695E1,-6.271526420E0,1.918781164E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.840352499E2,5.336065680E1,-6.271526330E0,1.918012141E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.850356913E2,5.336065676E1,-6.271526240E0,1.918561468E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.860350326E2,5.336065674E1,-6.271526170E0,1.918488233E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.870353012E2,5.336065657E1,-6.271526040E0,1.917560523E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.880357662E2,5.336065652E1,-6.271525940E0,1.916205555E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.890355457E2,5.336065652E1,-6.271525890E0,1.917230950E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.900353363E2,5.336065645E1,-6.271525850E0,1.917975588E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.910351180E2,5.336065631E1,-6.271525780E0,1.917633808E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.920355273E2,5.336065627E1,-6.271525670E0,1.917578889E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.930355371E2,5.336065617E1,-6.271525580E0,1.917993943E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.940353707E2,5.336065613E1,-6.271525480E0,1.918274716E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.950350086E2,5.336065599E1,-6.271525460E0,1.918280833E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.960357927E2,5.336065590E1,-6.271525400E0,1.918146567E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.970357499E2,5.336065570E1,-6.271525420E0,1.917878027E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.980355332E2,5.336065556E1,-6.271525400E0,1.918390735E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
1.990357375E2,5.336065541E1,-6.271525320E0,1.917725471E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.000353921E2,5.336065541E1,-6.271525200E0,1.917566789E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.010351989E2,5.336065539E1,-6.271525030E0,1.918390780E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.020349692E2,5.336065563E1,-6.271524660E0,1.917340987E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.030351665E2,5.336065551E1,-6.271524560E0,1.917426454E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.040348991E2,5.336065545E1,-6.271524460E0,1.918805862E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.050356927E2,5.336065526E1,-6.271524570E0,1.919751912E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.060355516E2,5.336065499E1,-6.271524740E0,1.923200406E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
