"Time (s)","Illuminance (lx)"
1.520580526E2,2.465749969E2
1.522580665E2,2.462750092E2
1.524580489E2,2.463249969E2
1.526580664E2,2.460749969E2
1.528580482E2,2.458750000E2
1.530580551E2,2.460749969E2
1.532580396E2,2.460250092E2
1.534580372E2,2.459750061E2
1.536580418E2,2.460749969E2
1.538580612E2,2.458750000E2
1.540580441E2,2.458249969E2
1.542580478E2,2.460749969E2
1.544580541E2,2.461250000E2
1.546580445E2,2.459750061E2
1.548580674E2,2.461250000E2
1.550580379E2,2.460749969E2
1.552580379E2,2.461250000E2
1.554580187E2,2.461250000E2
1.556580374E2,2.460749969E2
1.558580230E2,2.460749969E2
1.560580300E2,2.460749969E2
1.562580217E2,2.458750000E2
1.564580278E2,2.459250031E2
1.566580041E2,2.458750000E2
1.568580193E2,2.455749969E2
1.570580005E2,2.455250092E2
1.572580148E2,2.454750061E2
1.574579972E2,2.455250092E2
1.576580175E2,2.454750061E2
1.578579930E2,2.454750061E2
1.580580080E2,2.452250061E2
1.582579869E2,2.452750092E2
1.584580040E2,2.454250031E2
1.586579851E2,2.452250061E2
1.588579978E2,2.450250092E2
1.590579807E2,2.450749969E2
1.592579953E2,2.449250031E2
1.594579780E2,2.451750031E2
1.596579936E2,2.451250000E2
1.598579728E2,2.449750061E2
1.600579854E2,2.450250092E2
1.602579687E2,2.450250092E2
1.604579826E2,2.448750000E2
1.606579645E2,2.448750000E2
1.608579767E2,2.447750092E2
1.610579604E2,2.446750031E2
1.612579738E2,2.447750092E2
1.614579581E2,2.448750000E2
1.616579697E2,2.448249969E2
1.618579565E2,2.448249969E2
1.620579674E2,2.447250061E2
1.622579584E2,2.445749969E2
1.624579641E2,2.446250000E2
1.626579647E2,2.445749969E2
1.628579608E2,2.445749969E2
1.630579873E2,2.444750061E2
1.632579569E2,2.445749969E2
1.634579560E2,2.444750061E2
1.636579486E2,2.445250092E2
1.638579507E2,2.444750061E2
1.640579276E2,2.443750000E2
1.642579416E2,2.442750092E2
1.644579243E2,2.444250031E2
1.646579402E2,2.442250061E2
1.648579208E2,2.442250061E2
1.650579388E2,2.441250000E2
1.652579231E2,2.440250092E2
1.654579355E2,2.438750000E2
1.656579144E2,2.439750061E2
1.658579278E2,2.436250000E2
1.660579120E2,2.436750031E2
1.662579281E2,2.435749969E2
1.664579046E2,2.435250092E2
1.666579199E2,2.434250031E2
1.668579018E2,2.435250092E2
1.670579171E2,2.434750061E2
1.672578983E2,2.433750000E2
1.674579186E2,2.434250031E2
1.676578949E2,2.430250092E2
1.678579071E2,2.429375000E2
1.680578898E2,2.428375092E2
1.682579076E2,2.426374969E2
1.684578866E2,2.425375061E2
1.686579014E2,2.424375000E2
1.688578832E2,2.422875061E2
1.690578944E2,2.421875000E2
1.692578774E2,2.420875092E2
1.694579011E2,2.418874969E2
1.696578723E2,2.417375031E2
1.698578857E2,2.414875031E2
1.700578681E2,2.412375031E2
1.702578849E2,2.409875031E2
1.704578800E2,2.408375092E2
1.706578770E2,2.407375031E2
1.708578606E2,2.404875031E2
1.710578705E2,2.404875031E2
1.712579176E2,2.403874969E2
1.714578554E2,2.402375031E2
1.716578737E2,2.402375031E2
1.718578501E2,2.400875092E2
1.720578617E2,2.398874969E2
1.722578624E2,2.399875031E2
1.724578633E2,2.399875031E2
1.726578408E2,2.398874969E2
1.728578576E2,2.399375000E2
1.730578532E2,2.397375031E2
1.732578544E2,2.396875000E2
