# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.106250000E4,1.544104153E-2
1.108593750E4,1.544166319E-2
1.110937500E4,2.047922293E-3
1.113281250E4,3.498200937E-2
1.115625000E4,2.881204251E-2
1.117968750E4,2.966341757E-2
1.120312500E4,2.011997504E-2
1.122656250E4,1.587680310E-2
1.125000000E4,2.392644464E-2
1.127343750E4,5.642725901E-2
1.129687500E4,1.078733089E-2
1.132031250E4,1.360462597E-2
1.134375000E4,2.167442365E-2
1.136718750E4,1.817134540E-2
1.139062500E4,2.678222626E-2
1.141406250E4,2.530357882E-2
1.143750000E4,1.837530521E-2
1.146093750E4,3.731442777E-2
1.148437500E4,1.531351159E-2
1.150781250E4,1.676557898E-2
1.153125000E4,1.123029125E-2
1.155468750E4,4.166078840E-2
1.157812500E4,1.826788252E-2
1.160156250E4,2.029720303E-2
1.162500000E4,2.317914846E-2
1.164843750E4,2.026529712E-2
1.167187500E4,2.478810968E-2
1.169531250E4,2.727771044E-2
1.171875000E4,2.251569338E-2
1.174218750E4,5.256441134E-3
1.176562500E4,4.425460237E-2
1.178906250E4,1.565178427E-2
1.181250000E4,4.160889827E-2
1.183593750E4,1.849964129E-2
1.185937500E4,1.970687286E-2
1.188281250E4,9.597261700E-3
1.190625000E4,3.528897616E-2
1.192968750E4,1.870639665E-2
1.195312500E4,2.736330391E-2
1.197656250E4,7.284905785E-3
1.200000000E4,4.554618437E-2
1.202343750E4,9.575959119E-3
1.204687500E4,1.427205051E-2
1.207031250E4,1.616385743E-2
1.209375000E4,1.815261458E-2
1.211718750E4,1.650985764E-2
1.214062500E4,5.540490288E-2
1.216406250E4,2.685477869E-2
1.218750000E4,2.002346475E-2
1.221093750E4,2.391158165E-2
1.223437500E4,3.331740959E-3
1.225781250E4,2.462779033E-2
1.228125000E4,1.160301214E-2
1.230468750E4,1.656516048E-2
1.232812500E4,1.765893198E-2
1.235156250E4,2.855438986E-2
1.237500000E4,2.740089218E-2
1.239843750E4,3.225984761E-2
1.242187500E4,3.029946705E-2
1.244531250E4,2.739791184E-2
1.246875000E4,2.008686239E-2
1.249218750E4,9.774441998E-3
1.251562500E4,1.416426645E-2
1.253906250E4,1.929226633E-2
1.256250000E4,6.085223557E-3
1.258593750E4,1.781819197E-2
1.260937500E4,4.253269272E-2
1.263281250E4,3.031282236E-2
1.265625000E4,3.219695936E-2
1.267968750E4,1.848917749E-2
1.270312500E4,1.590471774E-2
1.272656250E4,3.498641317E-2
1.275000000E4,3.984830261E-3
1.277343750E4,2.827498480E-2
1.279687500E4,3.857803005E-2
1.282031250E4,1.060389200E-2
1.284375000E4,1.256815774E-2
1.286718750E4,5.069435594E-3
1.289062500E4,1.635628504E-2
1.291406250E4,2.862966267E-2
1.293750000E4,1.441026031E-2
1.296093750E4,3.400460043E-2
1.298437500E4,3.237679425E-2
1.300781250E4,1.699847916E-2
1.303125000E4,1.324353358E-2
1.305468750E4,6.321614127E-3
1.307812500E4,1.399423272E-2
1.310156250E4,1.918843161E-2
1.312500000E4,2.002395572E-3
1.314843750E4,2.278936469E-2
1.317187500E4,4.632395927E-2
1.319531250E4,1.352575791E-2
1.321875000E4,3.328527525E-2
1.324218750E4,1.878057738E-2
1.326562500E4,1.287503815E-2
1.328906250E4,1.272388311E-2
1.331250000E4,1.281413049E-2
1.333593750E4,1.668093654E-2
1.335937500E4,6.070865943E-3
1.338281250E4,1.783338043E-2
1.340625000E4,3.137436445E-2
1.342968750E4,2.885552825E-2
1.345312500E4,3.046653171E-2
1.347656250E4,2.340242584E-2
1.350000000E4,2.142733155E-2
1.352343750E4,2.701427281E-2
1.354687500E4,2.964599168E-2
1.357031250E4,5.055055663E-3
1.359375000E4,4.904657724E-2
1.361718750E4,1.613131306E-2
1.364062500E4,1.961603689E-2
1.366406250E4,6.323915864E-3
1.368750000E4,3.195298964E-2
1.371093750E4,3.230217206E-2
1.373437500E4,2.042309358E-2
1.375781250E4,2.649163095E-2
1.378125000E4,5.002781961E-3
