"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.146199862E0,2.512411177E-1,-1.620521545E-1,7.739953995E-1
1.151199862E0,2.296423763E-1,-2.302422523E-1,6.490383148E-1
1.156199862E0,1.693717837E-1,-1.140532494E-1,5.387477875E-1
1.161199862E0,-2.691063285E-2,2.752542496E-2,4.756793976E-1
1.166199862E0,-1.913604736E-1,9.857940674E-2,3.043212891E-1
1.171199862E0,-2.574678659E-1,1.809549332E-2,1.847381592E-1
1.176199862E0,-2.663612366E-1,-1.118230820E-1,-3.844356537E-2
1.181199862E0,1.975778937E-1,-2.634801865E-1,-5.632019043E-2
1.186199862E0,6.597481370E-1,-3.892779350E-1,-4.231834412E-2
1.191199862E0,8.156400323E-1,-4.507913589E-1,-1.432399750E-1
1.196199862E0,6.065958142E-1,-5.707683563E-1,-3.188714981E-1
1.201199862E0,5.105258822E-1,-7.039871216E-1,-3.808259964E-1
1.206199862E0,4.587119222E-1,-5.604496002E-1,-3.162679672E-1
1.211199862E0,3.060019612E-1,-2.892341614E-1,-8.506965637E-2
1.216199862E0,1.711532623E-1,-1.360392570E-1,3.525447845E-2
1.221199862E0,2.037120759E-1,-7.487392426E-2,8.271789551E-2
1.226199862E0,2.917773426E-1,-7.853937149E-2,1.277370453E-1
1.231199862E0,4.249605536E-1,-1.352205276E-1,2.085742950E-1
1.236199862E0,6.143783927E-1,-1.807985306E-1,2.613153458E-1
1.241199862E0,8.686872125E-1,-2.945747375E-1,2.539196014E-1
1.246199862E0,1.036675572E0,-3.622989655E-1,1.328773499E-1
1.251199862E0,1.140691280E0,-4.050664902E-1,6.467437744E-2
1.256199862E0,1.231478333E0,-4.318518639E-1,9.902000427E-3
1.261199862E0,1.218488216E0,-3.349890709E-1,-9.147071838E-2
1.266199862E0,1.069969773E0,-1.577467918E-1,-1.569051743E-1
1.271199862E0,8.839681745E-1,-2.416133881E-3,-1.221008301E-1
1.276199862E0,7.554840446E-1,5.363893509E-2,-1.295080185E-1
1.281199862E0,6.289988160E-1,1.056180000E-1,-1.547279358E-1
1.286199862E0,5.702448487E-1,1.349287033E-1,-9.439086914E-2
1.291199862E0,5.657367110E-1,1.082463264E-1,4.892635345E-2
1.296199862E0,5.490232706E-1,7.742261887E-2,1.682939529E-1
