"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.936473561E0,8.051999807E-1,-3.579479980E1,-2.241139984E1
3.946473561E0,8.173999786E-1,-3.574599838E1,-2.248460007E1
3.956473561E0,8.417999744E-1,-3.575819778E1,-2.260659981E1
3.966473561E0,8.051999807E-1,-3.577040100E1,-2.264319992E1
3.976473561E0,7.929999828E-1,-3.574599838E1,-2.276519966E1
3.986473561E0,7.807999849E-1,-3.575819778E1,-2.275300026E1
3.996473561E0,7.563999891E-1,-3.572159958E1,-2.291160011E1
4.006473561E0,7.563999891E-1,-3.567279816E1,-2.293599892E1
4.016473561E0,7.197999954E-1,-3.569720078E1,-2.302140045E1
4.026473561E0,6.953999996E-1,-3.569720078E1,-2.315559959E1
4.036473561E0,6.710000038E-1,-3.562400055E1,-2.322879982E1
4.046473561E0,7.075999975E-1,-3.556299973E1,-2.335079956E1
4.056473561E0,7.563999891E-1,-3.557519913E1,-2.352159882E1
4.066473561E0,8.539999723E-1,-3.548979950E1,-2.368019867E1
4.076473561E0,9.515999556E-1,-3.539220047E1,-2.376560020E1
4.086473561E0,1.012599945E0,-3.540439987E1,-2.396080017E1
4.096473561E0,1.122399926E0,-3.536779785E1,-2.415600014E1
4.106473561E0,1.207800031E0,-3.533119965E1,-2.426580048E1
4.116473561E0,1.268800020E0,-3.535559845E1,-2.436339951E1
4.126473561E0,1.293200016E0,-3.534339905E1,-2.444879913E1
4.136473561E0,1.305400014E0,-3.530680084E1,-2.443659973E1
4.146473561E0,1.220000029E0,-3.530680084E1,-2.450979996E1
4.156473561E0,1.207800031E0,-3.535559845E1,-2.458300018E1
4.166473561E0,1.158999920E0,-3.529459763E1,-2.461960030E1
4.176473561E0,1.085799932E0,-3.525799942E1,-2.465620041E1
4.186473561E0,1.000399947E0,-3.522140121E1,-2.472939873E1
4.196473561E0,9.149999619E-1,-3.513599777E1,-2.491239929E1
4.206473561E0,8.417999744E-1,-3.505059814E1,-2.515639877E1
4.216473561E0,7.929999828E-1,-3.500180054E1,-2.546139908E1
4.226473561E0,7.929999828E-1,-3.490419769E1,-2.576639938E1
4.236473561E0,7.563999891E-1,-3.477000046E1,-2.610799980E1
