# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.083515531E0,7.185800076E0,1.917840004E1,-2.869439888E1,3.525358532E1
3.093515531E0,7.149199963E0,1.923939896E1,-2.868219948E1,3.526944994E1
3.103515531E0,7.161399841E0,1.933699989E1,-2.864559937E1,3.529554611E1
3.113515531E0,7.124799728E0,1.948340034E1,-2.857239914E1,3.530931397E1
3.123515531E0,7.051599979E0,1.960540009E1,-2.856019974E1,3.535225288E1
3.133515531E0,7.014999866E0,1.966639900E1,-2.845039940E1,3.529026351E1
3.143515531E0,7.002799988E0,1.977619934E1,-2.846259880E1,3.535897055E1
3.153515531E0,6.990599632E0,1.981279945E1,-2.840159988E1,3.532798298E1
3.163515531E0,6.929599762E0,1.981279945E1,-2.841379929E1,3.532577480E1
3.173515531E0,6.905200005E0,1.987380028E1,-2.841379929E1,3.535525017E1
3.183515531E0,6.819799900E0,1.983720016E1,-2.842599869E1,3.532791506E1
3.193515531E0,6.795399666E0,1.976399994E1,-2.841379929E1,3.527232825E1
3.203515531E0,6.819799900E0,1.967860031E1,-2.846259880E1,3.526863353E1
3.213515531E0,6.856400013E0,1.964200020E1,-2.851140022E1,3.529473524E1
3.223515531E0,6.868599892E0,1.954439926E1,-2.852359962E1,3.525275794E1
3.233515531E0,6.868599892E0,1.953219986E1,-2.854800034E1,3.526574569E1
3.243515531E0,6.929599762E0,1.953219986E1,-2.859679985E1,3.531717919E1
3.253515531E0,6.941799641E0,1.943459892E1,-2.856019974E1,3.523602172E1
3.263515531E0,6.978399754E0,1.943459892E1,-2.859679985E1,3.527291681E1
3.273515531E0,6.990599632E0,1.945899963E1,-2.862119865E1,3.530855650E1
3.283515531E0,6.966199875E0,1.947119904E1,-2.860899925E1,3.530057182E1
3.293515531E0,6.929599762E0,1.947119904E1,-2.867000008E1,3.534283307E1
